epoch,total_loss,val_loss,cover_loss,secret_loss
10,0.0058705914,0.006291763,0.0024452626,0.0034253292
20,0.0044558737,0.0043964754,0.0019557322,0.0025001417
30,0.0035405133,0.0037592766,0.0017654721,0.0017750413
40,0.0029853217,0.005010799,0.0016334453,0.0013518768
50,0.0028393245,0.0032428433,0.0015788897,0.0012604349
60,0.0027480994,0.0028610148,0.0015728984,0.0011752009
70,0.002372975,0.0031601794,0.0015059413,0.0008670338
80,0.0022874211,0.0022599485,0.0014851515,0.0008022695
90,0.0020538492,0.0034941258,0.0014151443,0.00063870486
100,0.0023473632,0.0027080427,0.0015306501,0.0008167129
